ibbi|t|WIN|555|2025-12-02 09:30
t|ibbi|LOSS|158|2025-12-02 09:30
t|AI|LOSS|0|2025-12-02 09:31
t|AI|LOSS|0|2025-12-02 09:31
t|AI|WIN|1266|2025-12-02 10:04
t|AI|LOSS|0|2025-12-02 10:04
t|AI|WIN|485|2025-12-02 10:04
t|AI|WIN|574|2025-12-02 10:05
t|AI|WIN|761|2025-12-02 10:05
t|AI|LOSS|0|2025-12-02 10:06
t|AI|WIN|891|2025-12-02 10:12
t|AI|WIN|1205|2025-12-02 10:12
t|AI|WIN|1205|2025-12-02 10:12
t|AI|WIN|499|2025-12-02 11:09
t|AI|LOSS|0|2025-12-02 11:09
t|AI|WIN|210|2025-12-02 11:10
t|AI|WIN|536|2025-12-02 11:13
t|P2|WIN|197|2025-12-02 11:33
t|AI|LOSS|0|2025-12-02 11:34
t|AI|LOSS|0|2025-12-02 11:34
t|AI|WIN|85|2025-12-02 11:35
t|AI|WIN|90|2025-12-02 13:37
t|AI|LOSS|0|2025-12-02 13:37
ibbi|talha|WIN|484|2025-12-02 13:58
talha|ibbi|LOSS|130|2025-12-02 13:58
maam naveen|P2|WIN|396|2025-12-02 14:16
t|AI|WIN|734|2025-12-02 14:53
